Expected Amp Blocks,Measured Amp Blocks,Expected Amp Paint,Measured Amp Paint
16.5809025785889,56.047481599738,16.5606349837559,56.3693281728182
27.4635554679719,76.3148974598924,8.36538000278841,40.9237336214396
19.6714243218367,82.6610169033162,21.8774393516185,62.7698014236362
13.6768055688737,48.8421994530362,13.6432329367109,65.3272954912124
22.7453386017145,37.5415411177752,14.8219512294425,41.382092854969
14.253565944623,67.4444386129057,7.34030448443683,60.1676698082511
15.6975909646721,52.4044292324352,11.015367211285,45.661164491059
23.5588590286692,85.3902237307738,12.8880597211583,63.6669234060534
14.9817803775825,48.3401215672607,10.855699905316,50.2672518238092
20.301460959635,58.7867139813893,8.90924964574368,55.0931124334611
15.9729634947405,55.9738305034403,7.94141333226962,55.766178003634
21.8867245950613,77.9900487714916,15.5653664976343,51.1874343516718
21.6519129155003,56.7799291636585,9.78474190615192,73.4020830977478
15.2290426241409,71.9215391917184,7.69758668230498,39.8823464008193
14.6725852086267,77.542759767146,5.02744915348132,64.2961881209637
16.7750441578112,59.2187375560586,6.33164844641379,39.9647945849504
15.2550237692224,72.5667240252722,9.51605981084203,58.1433370209335
24.1167576265378,54.0549368783504,16.4604548319032,44.0654005978075
13.4764348875729,47.3744970625937,5.27077149234334,32.9895219859399
16.4664000698916,71.0654628044902,6.46704631887738,40.0156704969727
18.90636112735,63.7361909430518,11.5482306238837,57.3888976602097
19.8466038950333,76.5846048426272,10.8048328831291,49.6702539281685
16.4288500333273,69.1805340852415,9.33807961534085,60.5131066000073
22.3876746782235,57.0109427460124,12.7708579121407,44.9842391382066
18.8887932727521,56.4238387124544,11.2464543199858,64.5480014786331
14.7401521938868,52.897986411276,11.6299166255769,44.0063739839833
19.4899969749278,80.0560033561753,8.54181548770356,59.4099789772326
20.7699483999845,64.5596505999979,9.69510445780034,53.3138731662601
11.1424693211446,51.4021302265934,4.94226882165177,47.877829785368
15.6651328440954,58.7616267600928,9.99345539251065,58.9428089144916
15.538768357484,72.1867394930737,8.00310013883149,61.4034800140774
20.1636524134735,70.5074359531139,11.0316202491321,60.1581834353353
15.7373667669352,79.7614065882071,6.38519817974389,86.104764439051
10.5733131280029,44.8973589142903,3.77680736177094,23.2548788551926
35.3237728911047,65.9968051120291,29.4234008714281,58.8870436517183
19.5291491469853,70.9184111761688,8.89053954710135,57.64931504092
15.4058961752229,77.1711104290933,6.60229439503702,56.917374111501
17.1840687220243,60.3264038901155,9.59526379519144,44.7587285068881
16.1738721168779,67.2506875844077,12.7461413489944,52.5022037021022
12.7859954939276,49.701972089662,6.00656005931115,34.0767412544682
12.7702340112316,55.3392523069023,5.27068178829271,54.3082296863708
15.7836672662354,83.8437739245365,9.34101164648117,59.9489994912136
17.0416085796291,47.5916860979025,11.518934075159,34.4291966742642
18.8421580347272,62.0800349501392,9.48696786892299,39.350996361605
12.4844038580762,59.7196987080933,3.50466965628512,41.2292392382996
16.5807434529345,68.2959545465914,11.0443428389742,58.6376738618761
19.9327894547449,59.2472536626799,17.0223371292618,56.0825966774321
15.5145610521391,61.4960507537844,4.58282674464129,26.5109237983846
20.2192934898559,64.7148432435922,12.3476158467167,55.9490722494609
18.6986646750102,67.2809489703887,9.14083505314689,56.6066010545115
12.02147232179,55.606770318549,14.6326904773421,53.8206175720324
11.1463403274069,55.8797521094222,7.88220125963136,59.7435206988646
15.4149672290779,78.9604895494374,15.2013241596498,54.7235189634649
21.5887084682277,81.3588142719067,5.84827085060586,64.5310759092041
17.2175292264736,71.3720235224612,8.47950304678055,55.7508078816573
20.049487808421,68.0200388455108,6.88075605829929,47.6251285718195
13.5705172377316,64.9632924985326,6.03914941707205,57.5995547267887
16.9327528026089,78.3271586919657,12.341857761352,56.7427946976083
14.7609048996584,64.2043255962712,6.62959692406326,41.15296078207
15.0953983753315,70.1327279798552,9.47549418669713,64.11844636732
14.2072541537568,63.0626378582307,6.64020892046846,65.8199823082837
19.4093815095824,54.2187611009273,7.90619226007776,47.4584442182536
22.4843719306758,72.5401055468758,11.0990773996314,66.9103542466368
21.9668282167115,87.7006165194049,9.22479105583689,60.4173931775814
17.2423914886509,73.7882258024015,11.4458568263556,60.8948903317915
21.1206895427925,65.6154332530565,12.2552340809716,51.2270209529476
19.2974911949714,80.7476758303178,8.20440428055306,59.4926596263464
15.2420549763586,70.7773658849671,8.06859302963243,59.255481702791
14.6874626296483,64.7302844514274,5.65720306989436,44.2453884893829
17.6969030148515,71.1122488167281,5.38642619735098,58.0573064663185
18.0945823684043,81.8066250399245,20.8345670897282,69.4961355896026
19.8700616181578,83.0779786236031,14.0036205061565,70.5043470856633
19.6244375087625,59.7949491811984,11.5269530079025,44.0346386682901
15.2915136860984,61.9502508775789,8.89570042674041,55.9997063919982
15.8749559529359,57.9344853956198,8.96542772867734,44.1310587421505
16.0565182043692,74.6525100439729,10.3014613623404,62.9625182942013
14.6640008042929,59.489066095445,11.2159581471343,49.200315705483
12.5171692606891,56.068421868445,9.85686533754602,46.2390730913479
17.13307133689,78.2120373183287,10.3144932663651,69.000635672162
19.7458664118348,65.2883387763404,9.92773363382792,30.600760740258
16.1622957918164,70.8669542166862,4.12258421390098,71.1173474605426
