Sacc Rate Blocks,Sacc Rate Paint,Head Rate Blocks,Head Rate Paint,Blink Rate Blocks,Blink Rate Paint
2.53910034391818,1.75773136466316,1.06046746906728,0.705935238099222,0.0869784044029942,0.0615916650690596
2.25252900908043,1.10119246465028,0.926798131008849,0.480171132841691,0.21994390997755,0.108838790110783
2.65036195396615,2.3980493412386,0.970996243134872,1.18331692384263,0.142155777530912,0.324626766717889
2.41763432715478,1.72280306457161,0.768075724405249,0.847728492090794,0.656386860677416,0.68365200975064
2.17731289932414,1.856408888598,0.871363030599303,0.612472497772742,0.386421042464264,0.104452674038762
2.16877298734221,1.43236684778661,0.842252598122265,0.396007304976299,0.099928274353489,0.127789591322139
1.95925954207082,0.877853960578453,0.81494657225424,0.450545635649824,0.366380907002676,0.0774577024039812
2.36110791112726,1.6007590562852,1.00556579096025,0.516029147376632,0.184353728342713,0.145037778108817
2.48859799558473,1.68690423710735,0.861118868534077,0.632430664400125,0.0805448185148793,0.106461274167556
2.04995854596653,1.52434361810003,0.853595522382541,0.447874155833515,0.259211988443197,0.223375832107442
2.3019403744388,1.62720906204157,0.902064943520674,0.480507180482744,0.227537508160785,0.299706173589237
2.70797797329365,2.44549358098316,0.999634592265175,0.623042762955876,0.262171508969716,0.202945525392793
2.26773105347211,1.56157211089782,0.796392753849685,0.471980784080352,0.280510808036124,0.17194838973931
1.99881989527444,1.63719180793305,0.733309384892096,0.446219158992061,0.388318793560474,0.324379175863023
2.67930844760906,1.65245305162174,0.794580012399822,0.281216184929877,0.179452249177254,0.0925655277053288
2.26989552703162,1.50735081752517,1.04709240741427,0.43389488126804,0.564784432081326,0.300255257837483
2.20952016853838,1.50227609058268,0.796263559831629,0.523793596916495,0.198398629991568,0.169256439538982
2.30563794104371,1.59962683759672,0.918903552517721,0.604510142115041,0.156409115322165,0.134852262471817
2.2969471921148,1.38675901092975,0.658274873283815,0.295088504872431,0.194171445998466,0.253493582643072
2.22460603496926,1.23091713691187,0.921281390152742,0.373355865871833,0.185052201477765,0.168101499152734
2.24028134297573,1.69754133093868,1.00125524481583,0.680372757140535,0.564978449689109,0.49728241385687
2.37902468510618,1.85942621212503,0.990881941840503,0.471433873284472,0.207710647602305,0.169232672461092
2.54456169971637,1.55760597191861,0.916891930155019,0.363163275663008,0.217596769899031,0.126031269788734
3.05142085533544,2.07615311830712,0.902957496033255,0.503409551665592,0.0972837362949334,0.0904821089595019
2.63667649353858,1.66073474878664,0.997483311148777,0.513540855897862,0.342596645837097,0.204680961658575
2.04798658676701,1.42279325144803,0.812959546737723,0.492875605373065,0.458039154651637,0.383133771364219
2.05580026688536,1.1670226041999,0.633659791783385,0.339563586393367,0.285312785829168,0.282848469179914
2.97739313551582,1.76943446888101,0.723253393242711,0.366515906277138,0.0413287653281549,0.0919721562568099
2.15372630480082,1.26506180862461,0.63622111848602,0.407526129892753,0.315080934869267,0.376056930673235
2.19080593719105,1.38311767922138,0.879076662068279,0.4177855462724,0.554300297361591,0.372031653413125
2.33895087352214,1.64525631919759,0.933600983366382,0.33587958507455,0.369481661261607,0.189162953132645
2.52323051633922,1.68172807455133,0.979759307711384,0.570132849433867,0.210179389443036,0.219533913287753
2.17747350746417,1.38484141930297,1.07753043718536,0.590876333062873,0.431012174874142,0.278247583093207
2.09050127460351,1.1659599078472,0.753185638584336,0.299272144964996,0.495326450527515,0.385012522263361
1.55716289270606,1.33134040179916,0.885895428977732,0.599560543221233,0.519547695189948,0.432415370977866
2.53849677681181,1.65271200875556,0.831449668926767,0.429705122276444,0.264886620189059,0.28489607008072
2.79562136743178,1.7707191318489,0.807893739028846,0.344766186107652,0.176588795416141,0.0735501197029657
2.52856029989338,2.0607268344587,0.798622057789455,0.523760545129732,0.344021809509304,0.309741149964652
2.0745025683675,1.79042460006234,0.974562715358242,0.770877258360176,0.470386566080757,0.438041916040894
2.57977776982215,1.42402066276091,0.891369393763527,0.410740394468521,0.241655436121384,0.192402622372185
2.35265048548257,1.52781278351678,0.704182513933473,0.387247596614154,0.273251484414389,0.261694664899409
2.21302877030341,1.57195321122914,0.894012107498903,0.423057646758505,0.252212299234384,0.0848012413009201
2.3476036847768,1.98942595419573,0.814490399618741,0.608653045427015,0.169493764892412,0.078255391554902
2.42745707061881,1.82015676573901,1.03698281311688,0.621638239664963,0.474304976010311,0.450066085517433
1.91770008108057,0.892930507275727,0.688222362526769,0.271721206724132,0.24293426820666,0.113872941829875
2.17928278587851,1.59585137475563,0.962658770915475,0.546771367103774,0.130997882799238,0.0877237577990671
2.0466394024118,1.25751102830861,0.922039987847475,0.566625522637079,0.535335627751672,0.431182141129532
2.10536902247858,1.01644217538595,0.805631723506708,0.311269573908716,0.351465397790462,0.277810629482046
2.35103355453131,1.66582322991002,0.799549807996722,0.342032146065175,0.0753917933098646,0.0484093116785366
2.70003849401028,1.94032216076448,1.07211877208732,0.532147760922534,0.183748401448394,0.190189993975924
2.42970827640868,1.75320737794337,0.688076230703781,0.446338935877268,0.446372398955144,0.414938206720074
2.12501669447677,1.62918490678031,1.22287314947491,0.691397915686088,0.509652522176371,0.297929647304732
2.27841671733408,1.93366196152839,0.860180845027586,0.667113376727293,0.114567588381762,0.070095246105404
2.78101694086048,1.29342470616743,1.0550755042768,0.345554541064183,0.0675368388228395,0.0917532400256074
2.1983224908314,1.38696961297605,0.928813922172135,0.464101370495832,0.307013806910455,0.174260284707247
3.01956645440052,1.34575870618672,1.04141026763553,0.479570492485854,0.303526610667643,0.188373315230293
2.07723155325077,1.61955645035086,0.91236287564125,0.582423767665265,0.307834279164264,0.35231683488258
2.24382487244545,1.64101548811968,0.78893927636679,0.477889841412611,0.0484324596154087,0.0617777358141116
2.30381141404777,1.23543079739918,0.739123307795258,0.446562186964259,0.229215638159896,0.24673864026819
2.52562646816178,1.78607235298507,0.774784115773105,0.559492544308577,0.268567576907266,0.267030532510912
2.82889639275505,1.7497834452004,0.862514885801833,0.435977922168219,0.194351660570958,0.0968839827040488
2.39742728343168,1.41766277885852,0.68375166250458,0.372164211507852,0.166948341293757,0.126458182151699
2.91048235602942,1.92945338470783,0.96957209554621,0.581864305478034,0.263144339228388,0.143843778120034
2.96113832801588,1.81668986080559,0.930487090134381,0.474473916391754,0.207991231912391,0.172852355849319
2.97334676579953,2.08279103932538,0.917556228508449,0.452345759341211,0.265684794014313,0.163377952391052
2.69587313914566,1.83333498440291,0.912137528282368,0.470764032348122,0.0912137528282368,0.0708790790276947
2.78674416767704,1.77483111715236,0.921850732273394,0.413195411830322,0.125638112937096,0.10773081694586
